Gene,Entrez ID,Image Series URL,Used in analysis?,ID
Anxa2,12306,Anxa2/70928384.html,1,70928384
Anxa3,11745,Anxa3/72283800.html,1,72283800
Anxa4,11746,Anxa4/70436730.html,1,70436730
Anxa5,11747,Anxa5/79488933.html,1,79488933
Anxa6,11749,Anxa6/77332100.html,1,77332100
Ap1b1,11764,Ap1b1/77869778.html,1,77869778
Ap2a2,11772,Ap2a2/74819476.html,1,74819476
Ap2s1,232910,Ap2s1/71836889.html,1,71836889
Ap3s1,11777,Ap3s1/73512483.html,1,73512483
Apba1,319924,Apba1/77869854.html,1,77869854
Apba2,11784,Apba2/2031.html,1,2031
Apba2bp,56846,Apba2bp/73771235.html,1,73771235
Apbb2,11787,Apbb2/72128788.html,1,72128788
Apbb3,225372,Apbb3/77371771.html,1,77371771
Apc,11789,Apc/74881517.html,1,74881517
Aph1a,226548,Aph1a/1990.html,1,1990
Apln,30878,Apln/67850953.html,1,67850953
Apoe,11816,Apoe/79490110.html,1,79490110
Apol2,239552,Apol2/74581422.html,1,74581422
App,11820,App/79591705.html,1,79591705
Aqp2,11827,Aqp2/121093.html,1,121093
Aqp4,11829,Aqp4/79556722.html,1,79556722
Aqp9,64008,Aqp9/2037.html,1,2037
Arbp,11837,Arbp/74047927.html,1,74047927
Arc,11838,Arc/74273120.html,1,74273120
Arf1,11840,Arf1/77414125.html,1,77414125
Arf3,11842,Arf3/110.html,1,110
Arfgef2,99371,Arfgef2/162.html,1,162
Arhgap12,75415,Arhgap12/71836846.html,1,71836846
Arhgap17,70497,Arhgap17/1413.html,1,1413
Arhgap25,232201,Arhgap25/72128789.html,1,72128789
Arhgap26,71302,Arhgap26/75080997.html,1,75080997
Arhgap5,11855,Arhgap5/113.html,1,113
Arhgdia,192662,Arhgdia/75774677.html,1,75774677
Arhgdig,14570,Arhgdig/79556628.html,1,79556628
Arhgef5,54324,Arhgef5/74881537.html,1,74881537
Arhgef6,73341,Arhgef6/74881547.html,1,74881547
Arid1b,239985,Arid1b/982.html,1,982
Arid5a,214855,Arid5a/75042267.html,1,75042267
Arl10,56795,Arl10/74658019.html,1,74658019
Arl15,218639,Arl15/74363341.html,1,74363341
Arl3,56350,Arl3/75043143.html,1,75043143
Arl4c,320982,Arl4c/74988455.html,1,74988455
Arl5a,75423,Arl5a/74274688.html,1,74274688
Armc2,213402,Armc2/74988750.html,1,74988750
Arnt2,11864,Arnt2/71358590.html,1,71358590
Arntl,11865,Arntl/79556656.html,1,79556656
Arpc1a,56443,Arpc1a/77280335.html,1,77280335
Arpp21,74100,Arpp21/71587781.html,1,71587781
Arrdc3,105171,Arrdc3/77280426.html,1,77280426
Arsa,11883,Arsa/75749415.html,1,75749415
Arsj,271970,Arsj/71249746.html,1,71249746
Asb11,68854,Asb11/71836891.html,1,71836891
Asb13,142688,Asb13/72081558.html,1,72081558
Asb4,65255,Asb4/71358591.html,1,71358591
Asb6,72323,Asb6/1599.html,1,1599
Ascl1,17172,Ascl1/73817423.html,1,73817423
Ascl2,17173,Ascl2/1156.html,1,1156
Asgr1,11889,Asgr1/2047.html,1,2047
Asns,27053,Asns/74047788.html,1,74047788
Aspa,11484,Aspa/77371803.html,1,77371803
Atad4,217138,Atad4/74819231.html,1,74819231
Atbf1,11906,Atbf1/74641308.html,1,74641308
Atg12,67526,Atg12/74881536.html,1,74881536
Atp10a,11982,Atp10a/72128790.html,1,72128790
